Date,Price,Open,High,Low,Vol.,Change %,Prev_Price,Price_Change,7_day_avg,30_day_avg
2013-09-04,1389.8,1388.5,1395.1,1386.8,10.0,-1.56,1411.8,-22.0,1408.6714285714284,1352.6333333333334
2013-09-05,1372.8,1391.8,1392.2,1365.7,60.0,-1.22,1389.8,-17.0,1401.9285714285713,1354.0933333333335
2013-09-06,1386.3,1371.6,1389.0,1371.6,20.0,0.98,1372.8,13.5,1397.3285714285714,1356.2566666666667
2013-09-09,1386.5,1385.3,1389.0,1385.3,10.0,0.01,1386.3,0.20000000000004547,1393.5857142857144,1358.18
2013-09-10,1363.8,1371.9,1371.9,1359.8,20.0,-1.64,1386.5,-22.700000000000045,1389.0,1359.4933333333333
2013-09-11,1363.6,1360.6,1365.3,1359.9,20.0,-0.01,1363.8,-0.20000000000004547,1382.0857142857142,1361.1933333333334
2013-09-12,1330.4,1360.4,1360.4,1320.6,30.0,-2.43,1363.6,-33.19999999999982,1370.457142857143,1361.8466666666668
2013-09-13,1308.4,1328.2,1328.8,1306.5,20.0,-1.65,1330.4,-22.0,1358.8285714285716,1361.7833333333333
2013-09-16,1317.8,1328.6,1330.2,1307.7,80.0,0.72,1308.4,9.399999999999864,1350.9714285714285,1362.3033333333333
2013-09-17,1309.4,1323.0,1323.0,1307.0,40.0,-0.64,1317.8,-8.399999999999864,1339.9857142857143,1363.1966666666667
2013-09-18,1307.6,1302.8,1364.6,1285.0,150.0,-0.14,1309.4,-1.800000000000182,1328.7142857142858,1363.9333333333334
2013-09-19,1369.4,1360.6,1374.8,1359.0,110.0,4.73,1307.6,61.80000000000018,1329.5142857142857,1365.91
2013-09-20,1332.5,1368.0,1368.0,1325.9,100.0,-2.69,1369.4,-36.90000000000009,1325.0714285714287,1366.5833333333333
2013-09-23,1327.0,1326.2,1330.6,1317.5,70.0,-0.41,1332.5,-5.5,1324.5857142857144,1366.34
2013-09-24,1316.1,1326.2,1327.8,1309.8,200.0,-0.82,1327.0,-10.900000000000091,1325.6857142857145,1366.1899999999998
2013-09-25,1336.0,1325.3,1337.7,1318.5,200.0,1.51,1316.1,19.90000000000009,1328.2857142857142,1366.27
2013-09-26,1323.8,1334.0,1338.6,1319.4,170.0,-0.91,1336.0,-12.200000000000045,1330.3428571428572,1365.0266666666669
2013-09-27,1339.2,1323.7,1345.2,1320.0,133970.0,1.16,1323.8,15.400000000000091,1334.857142857143,1363.9666666666667
2013-09-30,1327.0,1343.5,1353.8,1322.0,119080.0,-0.91,1339.2,-12.200000000000045,1328.8,1362.6766666666665
2013-10-01,1286.1,1328.2,1337.8,1282.4,212830.0,-3.08,1327.0,-40.90000000000009,1322.1714285714284,1359.7933333333333
2013-10-02,1320.7,1287.5,1324.2,1276.9,176120.0,2.69,1286.1,34.600000000000136,1321.2714285714285,1358.1466666666668
2013-10-03,1317.6,1316.5,1322.8,1302.0,129120.0,-0.23,1320.7,-3.1000000000001364,1321.4857142857143,1356.3766666666668
2013-10-04,1309.9,1317.4,1326.0,1305.1,107570.0,-0.58,1317.6,-7.699999999999818,1317.7571428571428,1353.52
2013-10-07,1325.1,1312.3,1329.5,1307.9,95950.0,1.16,1309.9,15.199999999999818,1317.9428571428573,1351.2566666666667
2013-10-08,1324.6,1323.0,1330.8,1315.4,123180.0,-0.04,1325.1,-0.5,1315.857142857143,1348.0766666666666
2013-10-09,1307.2,1319.6,1323.3,1294.6,158400.0,-1.31,1324.6,-17.399999999999864,1313.0285714285715,1344.3666666666666
2013-10-10,1296.9,1307.0,1312.0,1281.0,141170.0,-0.79,1307.2,-10.299999999999955,1314.5714285714287,1340.5066666666667
2013-10-11,1268.2,1286.4,1294.8,1259.6,186260.0,-2.21,1296.9,-28.700000000000045,1307.0714285714287,1336.25
